=== bce_dice-transpose-half_shallow-s42-55dfa7 === 28,088,513 tham số, thiết bị cuda
epoch 120/120 | train 0.0819 | val 0.1747 | val dice 0.8506 | val iou 0.7734
TEST  Dice 0.8513 | IoU 0.7745 | P 0.8839 | R 0.8343
=== bce_dice-bilinear-full-s1337-894673 === 34,520,193 tham số, thiết bị cuda
epoch   1/120 | train 0.6096 | val 0.5261 | val dice 0.4652 | val iou 0.3329 *
epoch   2/120 | train 0.5208 | val 0.6603 | val dice 0.4732 | val iou 0.3399 *
epoch   3/120 | train 0.5069 | val 0.4717 | val dice 0.4945 | val iou 0.3550 *
epoch   4/120 | train 0.5026 | val 0.4729 | val dice 0.5085 | val iou 0.3704 *
epoch   5/120 | train 0.4890 | val 0.4929 | val dice 0.5102 | val iou 0.3745 *
epoch   6/120 | train 0.4741 | val 0.4601 | val dice 0.5356 | val iou 0.3966 *
epoch   7/120 | train 0.4545 | val 0.4925 | val dice 0.4050 | val iou 0.2885
epoch   8/120 | train 0.4570 | val 0.4449 | val dice 0.5211 | val iou 0.3854
epoch   9/120 | train 0.4562 | val 0.4265 | val dice 0.5579 | val iou 0.4170 *
epoch  10/120 | train 0.4449 | val 0.4134 | val dice 0.5830 | val iou 0.4458 *
epoch  11/120 | train 0.4462 | val 0.4585 | val dice 0.5182 | val iou 0.3828
epoch  12/120 | train 0.4483 | val 0.4609 | val dice 0.5379 | val iou 0.4033
epoch  13/120 | train 0.4305 | val 0.4216 | val dice 0.5490 | val iou 0.4134
epoch  14/120 | train 0.4280 | val 0.4228 | val dice 0.5452 | val iou 0.4118
epoch  15/120 | train 0.4291 | val 0.4125 | val dice 0.5914 | val iou 0.4493 *
epoch  16/120 | train 0.4245 | val 0.4042 | val dice 0.5883 | val iou 0.4559
epoch  17/120 | train 0.4171 | val 0.4207 | val dice 0.5738 | val iou 0.4394
epoch  18/120 | train 0.4190 | val 0.4399 | val dice 0.5704 | val iou 0.4317
epoch  19/120 | train 0.4111 | val 0.3778 | val dice 0.6203 | val iou 0.4820 *
epoch  20/120 | train 0.4164 | val 0.3924 | val dice 0.6018 | val iou 0.4617
epoch  21/120 | train 0.4002 | val 0.4130 | val dice 0.5610 | val iou 0.4325
epoch  22/120 | train 0.3970 | val 0.4314 | val dice 0.5899 | val iou 0.4502
epoch  23/120 | train 0.3866 | val 0.4455 | val dice 0.4974 | val iou 0.3740
epoch  24/120 | train 0.3819 | val 0.3844 | val dice 0.6172 | val iou 0.4798
epoch  25/120 | train 0.3780 | val 0.3685 | val dice 0.6217 | val iou 0.4930 *
epoch  26/120 | train 0.3562 | val 0.3425 | val dice 0.6555 | val iou 0.5299 *
epoch  27/120 | train 0.3493 | val 0.3765 | val dice 0.6305 | val iou 0.4998
epoch  28/120 | train 0.3410 | val 0.4810 | val dice 0.4575 | val iou 0.3583
epoch  29/120 | train 0.3283 | val 0.3107 | val dice 0.6944 | val iou 0.5839 *
epoch  30/120 | train 0.3093 | val 0.2862 | val dice 0.7235 | val iou 0.6077 *
